DOD Component,DOD Country,DOD Joint Base,DOD Status,DOD Site Name,DOD State,Carcinogen,Chemical Name,Classification,Clean Air Act,Date Signed,Elemental Metal,Facility City,Facility County,Facility Name,Facility State,Facility Street,Facility Zip Code,Federal Facility,Metal,Mixture Name,PFAS,Reporting Year,TRI Chemical ID,TRIFD,Unit of Measure,X,Y
Navy Active,United States,Joint Base Anacostia - Bolling,ACT,Joint Base Anacostia-Bolling,District of Columbia,NO,Hydroquinone,TRI,YES,1995-06-30,,WASHINGTON,DISTRICT OF COLUMBIA,JOINT BASE ANACOSTIA BOLLING,DC,20 MACDILL BLVD SW,20032,YES,NO,,NO,1994,0000123319,20332BLLNG20MAC,Pounds,-77.00953,38.845557
Navy Active,United States,Joint Base Anacostia - Bolling,ACT,Joint Base Anacostia-Bolling,District of Columbia,NO,Mercury,PBT,YES,2005-06-20,,WASHINGTON,DISTRICT OF COLUMBIA,JOINT BASE ANACOSTIA BOLLING,DC,20 MACDILL BLVD SW,20032,YES,YES,,NO,2004,0007439976,20332BLLNG20MAC,Pounds,-77.00953,38.845557
Navy Active,United States,Joint Base Anacostia - Bolling,ACT,Joint Base Anacostia-Bolling,District of Columbia,YES,Lead,PBT,YES,2013-06-25,,WASHINGTON,DISTRICT OF COLUMBIA,JOINT BASE ANACOSTIA BOLLING,DC,20 MACDILL BLVD SW,20032,YES,YES,,NO,2012,0007439921,20332BLLNG20MAC,Pounds,-77.00953,38.845557
Navy Active,United States,Joint Base Anacostia - Bolling,ACT,Joint Base Anacostia-Bolling,District of Columbia,YES,Lead,PBT,YES,2014-06-02,,WASHINGTON,DISTRICT OF COLUMBIA,JOINT BASE ANACOSTIA BOLLING,DC,20 MACDILL BLVD SW,20032,YES,YES,,NO,2013,0007439921,20332BLLNG20MAC,Pounds,-77.00953,38.845557
Navy Active,United States,Joint Base Anacostia - Bolling,ACT,Joint Base Anacostia-Bolling,District of Columbia,YES,Lead,PBT,YES,2015-06-11,,WASHINGTON,DISTRICT OF COLUMBIA,JOINT BASE ANACOSTIA BOLLING,DC,20 MACDILL BLVD SW,20032,YES,YES,,NO,2014,0007439921,20332BLLNG20MAC,Pounds,-77.00953,38.845557
Navy Active,United States,Joint Base Anacostia - Bolling,ACT,Joint Base Anacostia-Bolling,District of Columbia,YES,Lead,PBT,YES,2016-06-15,,WASHINGTON,DISTRICT OF COLUMBIA,JOINT BASE ANACOSTIA BOLLING,DC,20 MACDILL BLVD SW,20032,YES,YES,,NO,2015,0007439921,20332BLLNG20MAC,Pounds,-77.00953,38.845557
Navy Active,United States,Joint Base Anacostia - Bolling,ACT,Joint Base Anacostia-Bolling,District of Columbia,YES,Lead,PBT,YES,2017-05-17,,WASHINGTON,DISTRICT OF COLUMBIA,JOINT BASE ANACOSTIA BOLLING,DC,20 MACDILL BLVD SW,20032,YES,YES,,NO,2016,0007439921,20332BLLNG20MAC,Pounds,-77.00953,38.845557
Navy Active,United States,Joint Base Anacostia - Bolling,ACT,Joint Base Anacostia-Bolling,District of Columbia,YES,Lead,PBT,YES,2018-06-06,,WASHINGTON,DISTRICT OF COLUMBIA,JOINT BASE ANACOSTIA BOLLING,DC,20 MACDILL BLVD SW,20032,YES,YES,,NO,2017,0007439921,20332BLLNG20MAC,Pounds,-77.00953,38.845557
Navy Active,United States,Joint Base Anacostia - Bolling,ACT,Joint Base Anacostia-Bolling,District of Columbia,YES,Lead,PBT,YES,2019-05-24,NO,WASHINGTON,DISTRICT OF COLUMBIA,JOINT BASE ANACOSTIA BOLLING,DC,20 MACDILL BLVD SW,20032,YES,YES,,NO,2018,0007439921,20332BLLNG20MAC,Pounds,-77.00953,38.845557
Navy Active,United States,Joint Base Anacostia - Bolling,ACT,Joint Base Anacostia-Bolling,District of Columbia,YES,Lead,PBT,YES,2020-05-08,NO,WASHINGTON,DISTRICT OF COLUMBIA,JOINT BASE ANACOSTIA BOLLING,DC,20 MACDILL BLVD SW,20032,YES,YES,,NO,2019,0007439921,20332BLLNG20MAC,Pounds,-77.00953,38.845557
Navy Active,United States,Joint Base Anacostia - Bolling,ACT,Joint Base Anacostia-Bolling,District of Columbia,YES,Lead,PBT,YES,2021-05-13,NO,WASHINGTON,DISTRICT OF COLUMBIA,JOINT BASE ANACOSTIA BOLLING,DC,20 MACDILL BLVD SW,20032,YES,YES,,NO,2020,0007439921,20332BLLNG20MAC,Pounds,-77.00953,38.845557
AF Active,United States,Joint Base Andrews,ACT,Joint Base Andrews,Maryland,YES,Naphthalene,TRI,YES,2017-06-22,,ANDREWS AIR FORCE BASE,"PRINCE GEORGE'S",US DOD USAF JOINT BASE ANDREWS,MD,3466 NORTH CAROLINA AVE - C/O 316 CES,20762,YES,NO,,NO,2016,0000091203,2076WJNTBS3466N,Pounds,-76.87986,38.80559
AF Active,United States,Joint Base Andrews,ACT,Joint Base Andrews,Maryland,YES,Ethylbenzene,TRI,YES,2017-06-22,,ANDREWS AIR FORCE BASE,"PRINCE GEORGE'S",US DOD USAF JOINT BASE ANDREWS,MD,3466 NORTH CAROLINA AVE - C/O 316 CES,20762,YES,NO,,NO,2016,0000100414,2076WJNTBS3466N,Pounds,-76.87986,38.80559
AF Active,United States,Joint Base Andrews,ACT,Joint Base Andrews,Maryland,YES,Naphthalene,TRI,YES,2018-06-22,,ANDREWS AIR FORCE BASE,"PRINCE GEORGE'S",US DOD USAF JOINT BASE ANDREWS,MD,3466 NORTH CAROLINA AVE - C/O 316 CES,20762,YES,NO,,NO,2017,0000091203,2076WJNTBS3466N,Pounds,-76.87986,38.80559
AF Active,United States,Joint Base Andrews,ACT,Joint Base Andrews,Maryland,YES,Ethylbenzene,TRI,YES,2018-06-22,,ANDREWS AIR FORCE BASE,"PRINCE GEORGE'S",US DOD USAF JOINT BASE ANDREWS,MD,3466 NORTH CAROLINA AVE - C/O 316 CES,20762,YES,NO,,NO,2017,0000100414,2076WJNTBS3466N,Pounds,-76.87986,38.80559
AF Active,United States,Joint Base Andrews,ACT,Joint Base Andrews,Maryland,YES,Naphthalene,TRI,YES,2019-06-19,NO,ANDREWS AIR FORCE BASE,"PRINCE GEORGE'S",US DOD USAF JOINT BASE ANDREWS,MD,3466 NORTH CAROLINA AVE - C/O 316 CES,20762,YES,NO,,NO,2018,0000091203,2076WJNTBS3466N,Pounds,-76.87986,38.80559
AF Active,United States,Joint Base Andrews,ACT,Joint Base Andrews,Maryland,YES,Ethylbenzene,TRI,YES,2019-06-19,NO,ANDREWS AIR FORCE BASE,"PRINCE GEORGE'S",US DOD USAF JOINT BASE ANDREWS,MD,3466 NORTH CAROLINA AVE - C/O 316 CES,20762,YES,NO,,NO,2018,0000100414,2076WJNTBS3466N,Pounds,-76.87986,38.80559
AF Active,United States,Joint Base Andrews,ACT,Joint Base Andrews,Maryland,YES,Naphthalene,TRI,YES,2020-06-11,NO,ANDREWS AIR FORCE BASE,"PRINCE GEORGE'S",US DOD USAF JOINT BASE ANDREWS,MD,3466 NORTH CAROLINA AVE - C/O 316 CES,20762,YES,NO,,NO,2019,0000091203,2076WJNTBS3466N,Pounds,-76.87986,38.80559
AF Active,United States,Joint Base Andrews,ACT,Joint Base Andrews,Maryland,YES,Ethylbenzene,TRI,YES,2020-06-11,NO,ANDREWS AIR FORCE BASE,"PRINCE GEORGE'S",US DOD USAF JOINT BASE ANDREWS,MD,3466 NORTH CAROLINA AVE - C/O 316 CES,20762,YES,NO,,NO,2019,0000100414,2076WJNTBS3466N,Pounds,-76.87986,38.80559
AF Active,United States,Joint Base Andrews,ACT,Joint Base Andrews,Maryland,YES,Naphthalene,TRI,YES,2021-06-23,NO,ANDREWS AIR FORCE BASE,"PRINCE GEORGE'S",US DOD USAF JOINT BASE ANDREWS,MD,3466 NORTH CAROLINA AVE - C/O 316 CES,20762,YES,NO,,NO,2020,0000091203,2076WJNTBS3466N,Pounds,-76.87986,38.80559
